tweet,sentiment
I love this new phone! The camera quality is amazing 😍,Positive
This product is terrible. Waste of money.,Negative
"Honestly, the service was okay. Nothing special.",Positive
I am extremely happy with the results!,Positive
"Worst experience ever, I am disappointed.",Negative
The movie was wonderful and full of emotion.,Positive
"It's fine, not too good, not too bad.",Positive
I hate how slow this app is!,Negative
Absolutely fantastic customer support!,Positive
Feeling neutral about this update.,Neutral
